Word,Frequency,Number of Syllables,Number of Characters,Number of Syllables and Diacritics,Complex
dũng_mãnh,1,2,8,10,0
tay_chơi,1,2,7,8,0
thứ_thiệt,1,2,8,12,0
long_lanh,1,2,8,8,0
khang,1,1,5,5,0
sánh,1,1,4,5,0
compound,1,1,8,8,0
bảo_chứng,1,2,8,11,0
se,1,1,2,2,0
anh_chị,1,2,6,7,0
tỉnhthái,1,1,8,10,0
​cháy,1,1,5,6,0
bnonews,1,1,7,7,0
nội_trú,1,2,6,9,0
trờ,1,1,3,5,0
bắt_chuyện,1,2,9,13,0
lài,1,1,3,4,0
nãy,1,1,3,4,0
",_cường_độ",1,3,8,13,0
tân_hoa,1,2,6,7,0
địa_chấn,1,2,7,10,0
hống,1,1,4,6,0
đmả,1,1,3,4,0
rột,1,1,3,5,0
chèn_ép,1,2,6,8,0
đánh_số,1,2,6,9,0
villas,1,1,6,6,0
condotel,1,1,8,8,0
kiến_trúc_sư,1,3,10,14,0
tuyệt_tác,1,2,8,11,0
truc,1,1,4,4,0
vòm,1,1,3,4,0
vvv,1,1,3,3,0
tất_yếu,1,2,6,10,0
thụ_án,1,2,5,7,0
gan_lì,1,2,5,6,0
lãnh_địa,1,2,7,9,0
đốt_phá,1,2,6,9,0
cư_trú,1,2,5,7,0
võ_đường,1,2,7,11,0
vây_ráp,1,2,6,8,0
khung_hình_phạt,1,3,13,15,0
từ_sơn,1,2,5,8,0
chánh_án,1,2,7,9,0
dưới_trướng,1,2,10,16,0
bặm_trợn,1,2,7,11,0
ngoan_ngoãn,1,2,10,11,0
lái_buôn,1,2,7,9,0
trung_tuần,1,2,9,11,0
tnhh,1,1,4,4,0
nội_quy,1,2,6,8,0
công_nông,1,2,8,10,0
thuộc_hạ,1,2,7,10,0
barack,1,1,6,6,0
tan_thành_mây_khói,1,4,15,18,0
đau_thương,1,2,9,11,0
tiếc_thương,1,2,10,14,0
vô_hạn,1,2,5,7,0
vong_linh,1,2,8,8,0
di_chứng,1,2,7,9,0
sẹo,1,1,3,4,0
cử_chỉ,1,2,5,8,0
nhà_sử_học,1,3,8,12,0
hoanh,1,1,5,5,0
̣t,1,1,2,2,0
đặt,1,1,4,5,0
vòng_hoa,1,2,7,8,0
vĩnh_cửu,1,2,7,10,0
hệ,1,1,3,4,0
á_châu,1,2,5,7,0
đi_nữa,1,2,5,7,0
tối_mật,1,2,6,10,0
hơ,1,1,2,3,0
tập_tin,1,2,6,8,0
đơn_giản_hoá,1,3,10,13,0
tâm_thế,1,2,6,9,0
phong_bì,1,2,7,8,0
lưu_vong,1,2,7,8,0
dối_trá,1,2,6,9,0
con_đẻ,1,2,5,6,0
mát_mẻ,1,2,5,7,0
cố_hương,1,2,7,11,0
sấy,1,1,3,5,0
ký_ức,1,2,4,7,0
thơ_ấu,1,2,5,8,0
tuyệt_thực,1,2,9,13,0
cao_lớn,1,2,6,8,0
cảm_thấy_viên_mãn,1,4,14,19,0
"mỹ_""",1,2,3,4,0
lược_dịch,1,2,8,12,0
đánh_đổi,1,2,7,10,0
sinh_nhai,1,2,8,8,0
dư_dả,1,2,4,6,0
từ_điển,1,2,6,10,0
ngoài_lề,1,2,7,10,0
khoan_dung,1,2,9,9,0
biết_điều,1,2,8,12,0
bầu_bạn,1,2,6,9,0
lọt_lòng,1,2,7,9,0
kín_đáo,1,2,6,8,0
trông_nom,1,2,8,9,0
mải,1,1,3,4,0
nhịn_đói,1,2,7,9,0
quý_tử,1,2,5,8,0
đặc_quyền,1,2,8,12,0
nguyên_soái,1,2,10,12,0
sung_túc,1,2,7,8,0
khác.tôi,1,1,8,10,0
nói_bóng_gió,1,3,10,13,0
hời,1,1,3,5,0
bốn_phương,1,2,9,13,0
syria,1,1,5,5,0
điêu,1,1,4,5,0
nổ_cướp,1,2,6,11,0
nội_chiến,1,2,8,12,0
tn,1,1,2,2,0
xe_cộ,1,2,4,6,0
​is,1,1,3,3,0
phát_điện,1,2,8,11,0
giáo_phái,1,2,8,10,0
thiểu_số,1,2,7,11,0
wilayat,1,1,7,7,0
al-sahel,1,1,8,8,0
ghê_tởm,1,2,6,9,0
đảo_lộn,1,2,6,9,0
kiệt,1,1,4,6,0
hiện_chủ,1,2,7,10,0
đa_dạng_sinh_học,1,4,13,15,0
khiếm_khuyết,1,2,11,15,0
xiết,1,1,4,6,0
qui_mô,1,2,5,6,0
tráng,1,1,5,6,0
đất_đá,1,2,5,8,0
hồ_hởi,1,2,5,9,0
đối_trọng,1,2,8,11,0
gia_cố,1,2,5,7,0
trấn_giữ,1,2,7,11,0
mọi,1,1,4,4,0
khẩu.tin,1,1,8,10,0
nơ,1,1,2,3,0
địa_lí,1,2,5,7,0
ngăt,1,1,4,5,0
mẫu,1,1,4,5,0
khoẻ,1,1,5,5,0
khoắn,1,1,6,7,0
choá,1,1,4,5,0
phuộc,1,1,6,7,0
giảm_chấn,1,2,8,11,0
thuỷ_lực,1,2,7,10,0
bảo_hành,1,2,7,9,0
bắt_mắt,1,2,6,10,0
kếp,1,1,3,5,0
xy-lanh,1,1,7,7,0
ngang_ngửa,1,2,9,11,0
nhật_trình,1,2,9,12,0
khí_động_học,1,3,10,14,0
dung_hoà,1,2,7,8,0
thực_thụ,1,2,7,10,0
góc_cạnh,1,2,7,9,0
tạo_dáng,1,2,7,9,0
tiệm_cận,1,2,7,11,0
cc,1,1,2,2,0
mã_lực,1,2,5,8,0
mô-men,1,1,6,7,0
xoắn,1,1,4,6,0
lò_xo,1,2,4,5,0
khiên,1,1,5,6,0
xi-nhan,1,1,7,7,0
chắn_bùn,1,2,7,10,0
mat,1,1,3,3,0
gân_guốc,1,2,7,10,0
nam_tính,1,2,7,8,0
ánh_kim,1,2,6,7,0
đang_thống,1,2,9,11,0
exiter,1,1,6,6,0
trào,1,1,5,5,0
thịnh,1,1,6,6,0
dòng,1,1,5,5,0
dáng_vẻ,1,2,6,8,0
nét,1,1,4,4,0
góc,1,1,4,4,0
ốp,1,1,2,4,0
lớp,1,1,4,5,0
tuyền,1,1,6,7,0
vuốt,1,1,5,6,0
cụm,1,1,4,4,0
đèn,1,1,4,4,0
khối,1,1,5,6,0
gàng,1,1,5,5,0
nắm,1,1,4,5,0
ngầu,1,1,5,6,0
chất,1,1,5,6,0
chắn,1,1,5,6,0
dạng,1,1,5,5,0
vòng,1,1,5,5,0
tua,1,1,3,3,0
ấn,1,1,3,4,0
nhỏ,1,1,4,4,0
khả,1,1,4,4,0
hiển,1,1,5,6,0
thị,1,1,4,4,0
trí,1,1,4,4,0
giúp,1,1,5,5,0
lái,1,1,4,4,0
dễ,1,1,3,4,0
dàng,1,1,5,5,0
tốc,1,1,4,5,0
mức,1,1,4,5,0
tiêu_hao,1,2,7,8,0
liệu,1,1,5,6,0
cá_tính_hoá,1,3,9,12,0
led,1,1,3,3,0
bánh_xe,1,2,6,7,0
đón_đầu,1,2,6,9,0
diễu_binh,1,2,8,10,0
chiến_xa,1,2,7,9,0
phản_quang,1,2,9,10,0
tia_hồng_ngoại,1,3,12,15,0
đối_kháng,1,2,8,11,0
tách_biệt,1,2,8,11,0
pháo_tự_hành,1,3,10,14,0
siêu_đẳng,1,2,8,11,0
phát_xít,1,2,7,9,0
vô_hình,1,2,6,8,0
sành_sỏi,1,2,7,9,0
móc_túi,1,2,6,8,0
nhà_cái,1,2,6,8,0
won,1,1,3,3,0
mò,1,1,2,3,0
câu_kết,1,2,6,9,0
khai_thông,1,2,9,10,0
tân_cảng,1,2,7,9,0
yokohama,1,1,8,8,0
fc,1,1,2,2,0
nhược_điểm,1,2,9,14,0
chủ_tịch_đoàn,1,3,11,14,0
chuyên_cần,1,2,9,12,0
nản_lòng,1,2,7,9,0
hoà_đồng,1,2,7,10,0
lật_tẩy,1,2,6,10,0
giao_kèo,1,2,7,8,0
chán_nản,1,2,7,9,0
lượngs,1,1,6,9,0
gió_bão,1,2,6,8,0
rút_ruột,1,2,7,10,0
trường.thực,1,1,11,16,0
khuất_tất,1,2,8,12,0
sỏi,1,1,3,4,0
tiếp_tay,1,2,7,9,0
khấu_trừ,1,2,7,11,0
sâu_sát,1,2,6,8,0
lơ_là,1,2,4,6,0
giả_tạo,1,2,6,8,0
gameshow,1,1,8,8,0
cảm_tình,1,2,7,9,0
format,1,1,6,6,0
tự_biên_tự_diễn,1,4,12,19,0
concept,1,1,7,7,0
xạo,1,1,3,4,0
trấn,1,1,4,6,0
trường_giang,1,2,11,14,0
nhạt_nhẽo,1,2,8,10,0
ngớt,1,1,4,6,0
khiếu,1,1,5,7,0
quen_mặt,1,2,7,9,0
bái_phục,1,2,7,9,0
ẩn_số,1,2,4,8,0
cách_mạng_hoá,1,3,11,14,0
đặc_thù,1,2,6,9,0
tỏi,1,1,3,4,0
đế_chế,1,2,5,9,0
nài_nỉ,1,2,5,7,0
tự_lập,1,2,5,9,0
hai_bàn_tay_trắng,1,4,14,17,0
nội_khoa,1,2,7,9,0
sừng_sỏ,1,2,6,9,0
công_nghệ_sinh_học,1,4,15,19,0
mơ_ước,1,2,5,9,0
thầy_giáo,1,2,8,11,0
chuẩn_hoá,1,2,8,11,0
chính_thức_hoá,1,3,12,16,0
mo,1,1,2,2,0
khoàng,1,1,6,7,0
vô_giá_trị,1,3,8,11,0
tư_bản,1,2,5,7,0
thuyết_trình,1,2,11,14,0
này.từ,1,1,6,9,0
elly_trần_hoá,1,3,11,14,0
thuỷ_nguyễn_.,1,3,11,14,0
trang_nhã,1,2,8,9,0
chiffon,1,1,7,7,0
lạ_mắt,1,2,5,8,0
bộ_cánh,1,2,6,9,0
ghép_nối,1,2,7,10,0
bồng_bềnh,1,2,8,12,0
cung_bậc,1,2,7,9,0
thượng_lưu,1,2,9,13,0
gót,1,1,3,4,0
diu,1,1,3,3,0
phom,1,1,4,4,0
dạ_hội,1,2,5,8,0
hoạ_tiết,1,2,7,10,0
ntk,1,1,3,3,0
lỗng,1,1,4,6,0
lẫy,1,1,3,5,0
giải_nhiệt,1,2,9,12,0
tiếp_diễn,1,2,8,12,0
tin：ttkttv,1,1,10,10,0
riên,1,1,4,5,0
mắn,1,1,3,5,0
đậy,1,1,3,5,0
hãi_hùng,1,2,7,9,0
nguy_hại,1,2,7,8,0
mưng,1,1,4,5,0
mủ,1,1,2,3,0
guardian,1,1,8,8,0
cận_vệ,1,2,5,9,0
nghị_sĩ,1,2,6,8,0
thượng_nghị_viện,1,3,14,20,0
tốt_lành,1,2,7,10,0
tổng_tham_mưu_trưởng,1,4,17,23,0
hẻo,1,1,3,4,0
lảnh,1,1,4,5,0
khả,1,1,3,4,0
thủ_lãnh,1,2,7,9,0
tử_thương,1,2,8,12,0
diệt_trừ,1,2,7,11,0
tờ_rơi,1,2,5,8,0
bá_chủ,1,2,5,7,0
savills,1,1,7,7,0
bđs,1,1,3,3,0
hoang_sơ,1,2,7,8,0
chọc_tiết,1,2,8,11,0
cạp_quần,1,2,7,10,0
nhà_khách,1,2,8,10,0
chí_mạng,1,2,7,9,0
tand,1,1,4,4,0
rau_muống,1,2,8,10,0
vành_móng_ngựa,1,3,12,16,0
bài_ngoại,1,2,8,10,0
thắng_thế,1,2,8,12,0
điên_đảo,1,2,7,9,0
cá_biệt,1,2,6,9,0
đối_nội,1,2,6,10,0
cấm_cửa,1,2,6,10,0
chính_đảng,1,2,9,11,0
:_văn,1,2,4,5,0
phó,1,1,4,4,0
agribank,1,1,8,8,0
án_từ,1,2,4,7,0
sếp,1,1,3,5,0
ca-me-ra,1,1,8,8,0
ca-me-ra.,1,1,9,9,0
cafe,1,1,4,4,0
thang_máy,1,2,8,9,0
cơ_quan_hành_chính,1,4,15,18,0
bàn_cãi,1,2,6,8,0
lễ_tân,1,2,5,8,0
coffe,1,1,5,5,0
gộp,1,1,3,5,0
tươi_sáng,1,2,8,11,0
lạn,1,1,3,4,0
pmi,1,1,3,3,0
torng,1,1,5,5,0
nhẫn,1,1,4,6,0
ở_rể,1,2,3,7,0
con_riêng,1,2,8,9,0
hội_thẩm_nhân_dân,1,4,14,20,0
kim_loại_màu,1,3,10,12,0
tức_tối,1,2,6,10,0
nguyễn_chí,1,2,9,12,0
nhẫn_tâm,1,2,7,10,0
kiểm_sát_viên,1,3,11,15,0
nuốt,1,1,4,6,0
tiền_của,1,2,7,10,0
được_việc,1,2,8,13,0
trực_ban,1,2,7,9,0
con_dấu,1,2,6,8,0
lòng,1,1,5,5,0
thường,1,1,7,9,0
điện,1,1,5,6,0
thoại,1,1,6,6,0
định_thần,1,2,8,11,0
thiêng,1,1,6,7,0
giám,1,1,4,5,0
nóng_nực,1,2,7,10,0
ách_tắc,1,2,6,9,0
vằn,1,1,3,5,0
dã,1,1,3,3,0
quý,1,1,4,4,0
hiếm,1,1,5,6,0
lũ_lượt,1,2,6,10,0
đen-vàng,1,1,8,9,0
thù_lù,1,2,5,7,0
xua_đuổi,1,2,7,9,0
phóng_thích,1,2,10,12,0
hiếu_kì,1,2,6,9,0
hình_dáng,1,2,8,10,0
rùng_rợn,1,2,7,10,0
vái,1,1,3,4,0
nguyên_đán,1,2,9,11,0
​đức,1,1,4,6,0
dịp_quốc_tế,1,3,9,14,0
gồng,1,1,4,6,0
vui_tươi,1,2,7,9,0
rộn_rã,1,2,5,8,0
sắc_màu,1,2,6,9,0
vô_tư,1,2,4,6,0
sơn_ca,1,2,5,6,0
nhạc_phẩm,1,2,8,11,0
iên,1,1,3,4,0
thiếu_vắng,1,2,9,13,0
lung_tung,1,2,8,8,0
dây_xích,1,2,7,9,0
rọ_mõm,1,2,5,7,0
thú_dữ,1,2,5,8,0
ở_anh,1,2,4,6,0
ráng,1,1,4,5,0
tránh_né,1,2,7,9,0
cũi,1,1,3,4,0
nhảy_bổ,1,2,6,9,0
tộng,1,1,4,6,0
chi_phí_sản_xuất,1,4,13,17,0
đóng_chai,1,2,8,9,0
khoản,1,1,6,6,0
đại_hội_đảng_lần_thứ,1,5,16,24,0
đường_hướng,1,2,10,16,0
lý_lẽ,1,2,4,6,0
đả_động,1,2,6,9,0
lừa_phỉnh,1,2,8,11,0
bức_điện,1,2,7,11,0
giời,1,1,4,6,0
ngứa_tay,1,2,7,9,0
tong,1,1,4,4,0
abbtakk,1,1,7,7,0
nga,1,1,3,3,0
sức_lao_động,1,3,10,14,0
khoa_trương,1,2,10,12,0
xài,1,1,3,4,0
nhẹ_dạ,1,2,5,7,0
bắ,1,1,2,4,0
chạy_trường,1,2,10,14,0
dỏm,1,1,3,4,0
dởm,1,1,3,5,0
ăn_nói,1,2,5,7,0
môi_giới,1,2,7,10,0
chứng_minh_thư,1,3,12,15,0
cai_trị,1,2,6,7,0
post,1,1,4,4,0
xấu_xí,1,2,5,8,0
đầu_đàn,1,2,6,9,0
tứ_chi,1,2,5,7,0
thương_tiếc,1,2,10,14,0
bịt_mắt,1,2,6,9,0
đao,1,1,3,3,0
hữu_hiệu,1,2,7,11,0
hcm,1,1,3,3,0
bạn_hàng,1,2,7,9,0
đầu_nậu,1,2,6,10,0
rủng_rỉnh,1,2,8,10,0
bủa,1,1,3,4,0
nhịp_nhàng,1,2,9,11,0
súng_ống,1,2,7,10,0
đoá,1,1,3,4,0
tươi_thắm,1,2,8,12,0
tửng,1,1,4,6,0
biến_thể,1,2,7,11,0
tiêm_kích,1,2,8,10,0
đơn_giá,1,2,6,8,0
máy_bay_tiêm_kích,1,4,14,17,0
áp_chế,1,2,5,8,0
bức_xạ,1,2,5,8,0
tuốc,1,1,4,6,0
phản_lực,1,2,7,10,0
cánh_quạt,1,2,8,10,0
biển_đông,1,2,8,11,0
hàng_không_mẫu_hạm,1,4,15,20,0
"a_""",1,2,2,2,0
cả_gan,1,2,5,6,0
tau,1,1,3,3,0
khach,1,1,5,5,0
ha_long,1,2,6,6,0
bèkinh,1,1,6,7,0
trống_mái,1,2,8,11,0
phiều,1,1,5,7,0
onda,1,1,4,4,0
hvn,1,1,3,3,0
lead,1,1,4,4,0
fi,1,1,2,2,0
blade,1,1,5,5,0
msx,1,1,3,3,0
uỷ_nhiệm,1,2,7,10,0
"""_kiều",1,2,5,7,0
lạng_sơn,1,2,7,9,0
phấn_khởi,1,2,8,12,0
shopping,1,1,8,8,0
kyduyen,1,1,7,7,0
khệ_nệ,1,2,5,9,0
thiếu_gia,1,2,8,10,0
rựa,1,1,3,5,0
doạ_dẫm,1,2,6,9,0
hù_doạ,1,2,5,7,0
von,1,1,3,3,0
vàng_đen,1,2,7,8,0
siên,1,1,4,5,0
thần_dược,1,2,8,13,0
săn_bắt,1,2,6,9,0
cổ_cồn,1,2,5,9,0
viên-nhà,1,1,8,10,0
​thông,1,1,6,7,0
serie,1,1,5,5,0
hoạ_sỹ,1,2,5,7,0
con.việt,1,1,8,10,0
kịch_liệt,1,2,8,11,0
tại_ngũ,1,2,6,8,0
phủ_quyết,1,2,8,11,0
phóng_đại,1,2,8,10,0
quan_sát_viên,1,3,11,13,0
thu_nhận,1,2,7,9,0
mưu,1,1,3,4,0
tượng_trưng,1,2,10,14,0
tàu_thuyền,1,2,9,12,0
rê,1,1,2,3,0
lập_lờ,1,2,5,9,0
vi_sinh_vật,1,3,9,11,0
ký.theo,1,1,7,8,0
vntinnhanh,1,1,10,10,0
clear,1,1,5,5,0
mai_mối,1,2,6,8,0
calvin,1,1,6,6,0
harris,1,1,6,6,0
mớ,1,1,2,4,0
giảng_đường,1,2,10,14,0
thầy_thuốc,1,2,9,13,0
mãi_mãi,1,2,6,8,0
công_lao,1,2,7,8,0
nghiêm_trang,1,2,11,12,0
y_đức,1,2,4,6,0
hình_thể,1,2,7,10,0
lòng_thành,1,2,9,11,0
văn_tế,1,2,5,8,0
nữ_tướng,1,2,7,12,0
didi,1,1,4,4,0
dache,1,1,5,5,0
tuong,1,1,5,5,0
thế_vận_hội_mùa_hè,1,5,14,22,0
bão_hoà,1,2,6,8,0
ái_nữ,1,2,4,7,0
danh_gia_vọng_tộc,1,4,14,17,0
xaluan,1,1,6,6,0
mê_man,1,2,5,6,0
đồng_tử,1,2,6,10,0
truỵ_tim_mạch,1,3,11,13,0
hô_hấp,1,2,5,8,0
tuỷ_sống,1,2,7,10,0
tức_tưởi,1,2,7,12,0
đút,1,1,3,4,0
cháu,1,1,5,5,0
bụng,1,1,5,5,0
chóng,1,1,6,6,0
huyết,1,1,6,7,0
áp,1,1,3,3,0
nhịp,1,1,5,5,0
chậm,1,1,5,6,0
niêm,1,1,4,5,0
mạc,1,1,4,4,0
tím,1,1,4,4,0
tái,1,1,4,4,0
ếch_nhái,1,2,7,10,0
cúu,1,1,3,4,0
dựa,1,1,4,5,0
thập,1,1,5,6,0
viện,1,1,5,6,0
ngụ,1,1,4,4,0
khóm,1,1,5,5,0
phường,1,1,7,9,0
tối,1,1,4,5,0
tục,1,1,4,4,0
thịt,1,1,5,5,0
nhái,1,1,5,5,0
ếch,1,1,4,5,0
xào,1,1,4,4,0
khoảng,1,1,7,7,0
đạm,1,1,3,4,0
kẽm,1,1,3,4,0
bufotenin,1,1,9,9,0
thời_gian_biểu,1,3,12,16,0
dạ_dày,1,2,5,7,0
tanin,1,1,5,5,0
thuốc_tím,1,2,8,11,0
hoạt_tính,1,2,8,10,0
hấp_thụ,1,2,6,9,0
canxi,1,1,5,5,0
còi_xương,1,2,8,11,0
ruốc,1,1,4,6,0
nhà_thi_đấu,1,3,9,12,0
ghe,1,1,3,3,0
sà_lan,1,2,5,6,0
đọng,1,1,4,5,0
khử,1,1,3,5,0
xy,1,1,2,2,0
bộ_mặt,1,2,5,9,0
trắng_xoá,1,2,8,11,0
tồn_ứ,1,2,4,8,0
nghè,1,1,4,5,0
thuỷ_triều,1,2,9,12,0
xót_xa,1,2,5,6,0
khoáng_chất,1,2,10,13,0
chật_cứng,1,2,8,12,0
lềnh_bềnh,1,2,8,12,0
canô,1,1,4,5,0
hấp_thu,1,2,6,8,0
nấm_mốc,1,2,6,10,0
hôi,1,1,3,4,0
trào,1,1,4,5,0
này_khác,1,2,7,9,0
tắc,1,1,3,5,0
nhà_bán_lẻ,1,3,8,11,0
trắc_trở,1,2,7,11,0
song_hành,1,2,8,9,0
sơ_kết,1,2,5,8,0
nợ_đọng,1,2,6,9,0
lời_giải,1,2,7,10,0
súc,1,1,3,4,0
tồn,1,1,3,5,0
thuế_suất,1,2,8,12,0
trích_lập,1,2,8,11,0
séc,1,1,3,4,0
lỗi_thời,1,2,7,11,0
gieo_rắc,1,2,7,9,0
lạc_hậu,1,2,6,9,0
chạy_đua_chức,1,3,11,14,0
đại_cử_tri,1,3,8,11,0
nghị_sỹ,1,2,6,8,0
kiên_định,1,2,8,10,0
quốc_doanh,1,2,9,11,0
vietinbank,1,1,10,10,0
bội_chi_ngân_sách,1,4,14,18,0
động_thực_vật,1,3,11,17,0
dậm,1,1,3,5,0
tiến_công,1,2,8,11,0
tỉa,1,1,3,4,0
súng_cối,1,2,7,10,0
trận_địa,1,2,7,10,0
ite,1,1,3,3,0
vòng_vây,1,2,7,9,0
nội_thị,1,2,6,9,0
thực_địa,1,2,7,10,0
al-saadi,1,1,8,8,0
rễ,1,1,2,4,0
sinh_sôi,1,2,7,8,0
càn_quét,1,2,7,9,0
sào_huyệt,1,2,8,11,0
chiếm_đóng,1,2,9,12,0
",_minh",1,2,5,5,0
truyền_đơn,1,2,9,12,0
liên_hợp_quốc,1,3,11,16,0
chia_cắt,1,2,7,9,0
liên_quân,1,2,8,10,0
liều_mạng,1,2,8,11,0
hàng_ngũ,1,2,7,9,0
tòng_quân,1,2,8,10,0
chính_quy,1,2,8,9,0
tử_huyệt,1,2,7,11,0
chiến_trận,1,2,9,13,0
tứ_phía,1,2,6,9,0
điêu_đứng,1,2,8,11,0
lấy_lòng,1,2,7,10,0
phần_trăm,1,2,8,11,0
diesel,1,1,6,6,0
car,1,1,3,3,0
thú_tội,1,2,6,9,0
loang,1,1,5,5,0
chủ_tài_khoản,1,3,11,14,0
đùn_đẩy,1,2,6,9,0
thăm_viếng,1,2,9,12,0
làm_bé,1,2,5,7,0
ngớ,1,1,3,5,0
phỏng_đoán,1,2,9,11,0
cuốii,1,1,5,7,0
lạ_lùng,1,2,6,8,0
dân_gian,1,2,7,8,0
từ_ngữ,1,2,5,9,0
lợi_bất_cập_hại,1,4,12,19,0
lạ_lẫm,1,2,5,8,0
đánh_vật,1,2,7,10,0
xấp,1,1,3,5,0
phiền_muộn,1,2,9,13,0
học_bạ,1,2,5,7,0
mất_công,1,2,7,10,0
đã_đành,1,2,6,8,0
trí_lực,1,2,6,9,0
nón,1,1,3,4,0
nhà_chuyên_môn,1,3,12,15,0
cầu_đường,1,2,8,13,0
ppmu_thuathienhue@yahoo.com,1,2,26,26,0
fax,1,1,3,3,0
ốn,1,1,2,4,0
sở_giao_dịch,1,3,10,13,0
chùa,1,1,5,5,0
giết,1,1,5,6,0
mãn,1,1,3,4,0
thượng_tướng,1,2,11,17,0
trọng_án,1,2,7,9,0
thanh_thiên_bạch_nhật,1,4,18,22,0
sim,1,1,3,3,0
nghiêm_trị,1,2,9,11,0
ngoan_cố,1,2,7,9,0
lưu_manh,1,2,7,8,0
xảo_quyệt,1,2,8,11,0
chát_chúa,1,2,8,10,0
cầm_đồ,1,2,5,9,0
nặng_lãi,1,2,7,10,0
khoáng_sản,1,2,9,11,0
chạy_án,1,2,6,8,0
hận_thù,1,2,6,9,0
chêt,1,1,4,5,0
lê_hữu_trí,1,3,8,12,0
băng_đạn,1,2,7,9,0
trật,1,1,4,6,0
bánh_chè,1,2,7,9,0
vtvcab,1,1,6,6,0
cab,1,1,3,3,0
sống_động,1,2,8,12,0
thy,1,1,3,3,0
hình_tượng,1,2,9,13,0
teen,1,1,4,4,0
quá_đà,1,2,5,7,0
thiên_bẩm,1,2,8,11,0
yêu_đời,1,2,6,9,0
tróc,1,1,5,5,0
sửa,1,1,4,5,0
chữa,1,1,5,6,0
sáu,1,1,4,4,0
áu,1,1,2,3,0
ăn_chực_nằm_chờ,1,4,12,19,0
bất_khả_kháng,1,3,11,15,0
liện,1,1,4,6,0
buôn_ma_thuột,1,3,11,14,0
buon,1,1,4,4,0
thuot,1,1,5,5,0
phụ_tùng,1,2,7,9,0
rầm,1,1,3,5,0
xe_con,1,2,5,5,0
chồm,1,1,4,6,0
​dừng,1,1,5,7,0
gấp_rút,1,2,6,9,0
đưa_tang,1,2,7,8,0
nhúng_tay,1,2,8,9,0
