Word,Frequency,Number of Syllables,Number of Characters,Number of Syllables and Diacritics,Complex
tăng_trưởng,12,2,10,14,0
trọng_tài,12,2,8,10,0
mới_đây,13,2,6,9,0
chỉ_thị,13,2,6,8,0
tổng_cộng,13,2,8,12,0
khách_sạn,13,2,8,10,0
cai,13,1,3,3,0
chỉ_định,13,2,7,9,0
kỷ_luật,13,2,6,9,0
sửa_đổi,13,2,6,10,0
đệ_tử,13,2,4,8,0
bức_xúc,13,2,6,9,0
quách,13,1,5,6,0
chất_độc,13,2,7,11,0
giấy_tờ,14,2,6,10,0
đó_đây,14,2,5,7,0
chi_phí,14,2,6,7,0
nhiễu,14,1,5,7,0
lây,14,1,3,4,0
di_động,14,2,6,8,0
thanh_tra,14,2,8,8,0
tế_bào,14,2,5,8,0
tụ,14,1,2,3,0
quan_chức,14,2,8,10,0
bại,14,1,3,4,0
phiên_toà,14,2,8,10,0
du_khách,14,2,7,8,0
bí_thư,14,2,5,7,0
thọ,14,1,3,4,0
quyên,14,1,5,6,0
mua_sắm,14,2,6,8,0
phần_tử,14,2,6,10,0
đai,14,1,3,3,0
chuyền,14,1,6,8,0
tần_số,14,2,5,9,0
he,14,1,2,2,0
tiêm,14,1,4,5,0
phím,14,1,4,5,0
tỷ_lệ,15,2,4,7,0
tử_vong,15,2,6,8,0
miễn,15,1,4,6,0
ty,15,1,2,2,0
kích_thước,15,2,9,13,0
tập_đoàn,15,2,7,10,0
hiểm,15,1,4,6,0
mạc,15,1,3,4,0
nhiệt,15,1,5,7,0
khoản,15,1,5,6,0
hình_sự,15,2,6,9,0
lãi,15,1,3,4,0
diện_tích,15,2,8,11,0
tài_chính,15,2,8,10,0
chăn_nuôi,15,2,8,10,0
thu_nhập,15,2,7,9,0
cấp_cứu,15,2,6,10,0
danh_hiệu,15,2,8,10,0
văn_phòng,15,2,8,10,0
góp_ý,15,2,4,6,0
ung_thư,15,2,6,7,0
vô_địch,15,2,6,8,0
trại_giam,15,2,8,9,0
loan,16,1,4,4,0
trong_suốt,16,2,9,11,0
bảo_tàng,16,2,7,9,0
ban_hành,16,2,7,8,0
cảng,16,1,4,5,0
tuyên,16,1,5,6,0
vấn,16,1,3,5,0
nhồi,16,1,4,6,0
định_cư,16,2,6,8,0
dao_động,16,2,7,9,0
sân_bay,16,2,6,7,0
địa_bàn,16,2,6,8,0
qui_định,16,2,7,8,0
mới_đầu,16,2,6,10,0
nghị_quyết,16,2,9,12,0
thời_trang,16,2,9,11,0
dự_kiến,16,2,6,10,0
ẩm,16,1,2,4,0
đối_tác,16,2,6,9,0
phê,17,1,3,4,0
bưu_điện,17,2,7,10,0
đẩy_mạnh,17,2,7,10,0
đồng_bộ,17,2,6,10,0
ngũ,17,1,3,4,0
cúp,17,1,3,4,0
thời_hạn,17,2,7,10,0
thực_phẩm,17,2,8,12,0
chiến_dịch,17,2,9,12,0
thiết_bị,17,2,7,10,0
thăng,17,1,5,6,0
cam_kết,17,2,6,8,0
thí_sinh,17,2,7,8,0
y_học,17,2,4,5,0
thần_kinh,17,2,8,10,0
viêm,17,1,4,5,0
thoả_thuận,17,2,9,12,0
bố_trí,17,2,5,8,0
thận,18,1,4,6,0
khuyết,18,1,6,8,0
bền,18,1,3,5,0
dược,18,1,4,7,0
nội_lực,18,2,6,10,0
ca_sĩ,18,2,4,5,0
phước,18,1,5,8,0
dầm,18,1,3,5,0
tài_trợ,18,2,6,9,0
màn_hình,18,2,7,9,0
bang,18,1,4,4,0
xung,18,1,4,4,0
tử_hình,19,2,6,9,0
phổi,19,1,4,6,0
tội_phạm,19,2,7,10,0
nhơn,19,1,4,5,0
xe_máy,19,2,5,6,0
thẻ,19,1,3,4,0
chiêu,19,1,5,6,0
trung_bình,19,2,9,10,0
phổ,19,1,3,5,0
đánh_bại,19,2,7,9,0
trụ,19,1,3,4,0
cụm,19,1,3,4,0
trực,19,1,4,6,0
rối_loạn,19,2,7,10,0
điều_hành,19,2,8,11,0
du_học,19,2,5,6,0
rẻ,19,1,2,3,0
khởi_động,19,2,8,12,0
thành_tích,20,2,9,11,0
chu_kỳ,20,2,5,6,0
viễn,20,1,4,6,0
dẫn_đầu,20,2,6,10,0
lợi_thế,20,2,6,10,0
quỹ,20,1,3,4,0
tổng_số,20,2,6,10,0
đệ,20,1,2,4,0
trọng_lượng,21,2,10,14,0
thuận_tiện,21,2,9,13,0
bản_quyền,21,2,8,11,0
khủng_bố,21,2,7,10,0
mua_bán,21,2,6,7,0
tỉ_lệ,21,2,4,7,0
duyệt,21,1,5,7,0
lừa_đảo,21,2,6,9,0
dụng_cụ,21,2,6,8,0
xét_xử,21,2,5,8,0
sản,22,1,3,4,0
tiết_kiệm,22,2,8,12,0
tiểu_học,22,2,7,10,0
nhà_hàng,22,2,7,9,0
sốt,22,1,3,5,0
trang_bị,22,2,7,8,0
san,22,1,3,3,0
tra,22,1,3,3,0
phóng_viên,22,2,9,11,0
toa,23,1,3,3,0
tại_chỗ,23,2,6,9,0
tôm,23,1,3,4,0
nạp,23,1,3,4,0
chỉnh,23,1,5,6,0
am,23,1,2,2,0
số_liệu,23,2,6,10,0
phương_án,24,2,8,11,0
động_viên,24,2,8,11,0
thí_nghiệm,24,2,9,12,0
thuý,24,1,4,5,0
tình_nguyện,24,2,10,13,0
xuyến,24,1,5,7,0
cập_nhật,24,2,7,11,0
nhà_máy,24,2,6,8,0
lăng,24,1,4,5,0
dân_cư,24,2,5,7,0
trinh,24,1,5,5,0
thao,24,1,4,4,0
huy_động,24,2,7,9,0
hoạt,24,1,4,5,0
triệu_chứng,24,2,10,14,0
giao_thông,24,2,9,10,0
tú,24,1,2,3,0
thể_thao,24,2,7,9,0
vật_liệu,25,2,7,11,0
máy_tính,25,2,7,9,0
tỉ,25,1,2,3,0
phẳng,25,1,5,7,0
xem_lại,25,2,6,7,0
lắc,25,1,3,5,0
nhấn,25,1,4,6,0
cập,25,1,3,5,0
hợp_đồng,25,2,7,11,0
nhân_viên,25,2,8,10,0
gởi,25,1,3,5,0
trưng_bày,25,2,8,10,0
cải_thiện,26,2,8,11,0
não,26,1,3,4,0
hỗn_hợp,26,2,6,10,0
cao_cấp,26,2,6,8,0
kỵ,26,1,2,3,0
quy_trình,26,2,8,9,0
chế_tạo,26,2,6,9,0
mặt_bằng,26,2,7,11,0
dư,26,1,2,3,0
nhì,26,1,3,4,0
tiết_lộ,26,2,6,10,0
chiếm_đoạt,27,2,9,12,0
hiệp,27,1,4,6,0
khám,27,1,4,5,0
triển,27,1,5,7,0
hư_hỏng,27,2,6,8,0
công_ty,27,2,6,7,0
luyện,27,1,5,7,0
thất,27,1,4,6,0
tĩnh,27,1,4,5,0
biên_độ,27,2,6,9,0
phấn_đấu,27,2,7,11,0
ngưng,27,1,5,6,0
sự_cố,27,2,4,8,0
ô_nhiễm,27,2,6,9,0
nhiễm,27,1,5,7,0
bây,27,1,3,4,0
lở,28,1,2,4,0
can,28,1,3,3,0
sĩ,28,1,2,3,0
van,28,1,3,3,0
đông_nam_á,28,3,8,10,0
toàn_quốc,28,2,8,11,0
vú,28,1,2,3,0
thi_hành,28,2,7,8,0
y_tế,28,2,3,5,0
lọc,28,1,3,4,0
dân_số,28,2,5,8,0
thiết_kế,28,2,7,11,0
cựu,28,1,3,5,0
lắp,28,1,3,5,0
thủ_đô,29,2,5,7,0
cảnh_sát,29,2,7,9,0
trạm,29,1,4,5,0
thục,29,1,4,5,0
bệnh_nhân,29,2,8,11,0
toà_án,29,2,5,7,0
nghiệp,29,1,6,8,0
trang_phục,29,2,9,10,0
ho,29,1,2,2,0
thái_bình,29,2,8,10,0
giải_toả,29,2,7,9,0
phục_hồi,29,2,7,10,0
khẩu,29,1,4,6,0
uỷ_ban,30,2,5,6,0
điện_tử,30,2,6,10,0
vịnh,30,1,4,5,0
rối,30,1,3,5,0
quang,30,1,5,5,0
phí,30,1,3,4,0
lưu_trữ,30,2,6,9,0
thuốc_lá,31,2,7,10,0
hưu,31,1,3,4,0
nhạc_sĩ,31,2,6,8,0
thăm_dò,31,2,6,8,0
xưởng,31,1,5,8,0
đốc,31,1,3,5,0
quản_lý,31,2,6,8,0
nghiêm,31,1,6,7,0
địa_chỉ,31,2,6,8,0
người_mẫu,31,2,8,13,0
lo_ngại,32,2,6,7,0
thiệt,32,1,5,7,0
hợp_tác,32,2,6,9,0
khối_lượng,32,2,9,14,0
mét,32,1,3,4,0
chánh,32,1,5,6,0
nghị,32,1,4,5,0
ngày_trước,32,2,9,13,0
sôi_động,32,2,7,10,0
qui,32,1,3,3,0
hồ_sơ,32,2,4,7,0
công_cộng,32,2,8,11,0
kinh_doanh,32,2,9,9,0
giám_đốc,32,2,7,10,0
giang,32,1,5,5,0
đệm,32,1,3,5,0
lợi_nhuận,32,2,8,12,0
đầu_tư,32,2,5,8,0
nâng_cấp,32,2,7,10,0
kỷ,33,1,2,3,0
căn_bệnh,33,2,7,10,0
tận_dụng,33,2,7,10,0
nghi,33,1,4,4,0
bù,33,1,2,3,0
phỏng_vấn,33,2,8,11,0
trú,33,1,3,4,0
tố,33,1,2,4,0
phùng,34,1,5,6,0
dự_định,34,2,6,9,0
phụ_trách,34,2,8,10,0
dang,34,1,4,4,0
cỡ,34,1,2,4,0
mô,34,1,2,3,0
thường_trực,34,2,10,15,0
nầy,34,1,3,5,0
huỷ,34,1,3,4,0
ngăn_chặn,35,2,8,11,0
mía,35,1,3,4,0
đo,35,1,2,2,0
vệ_sinh,35,2,6,8,0
trình_diễn,35,2,9,12,0
đắt,35,1,3,5,0
chế,36,1,3,5,0
lam,36,1,3,3,0
hiệp_hội,36,2,7,11,0
gò,36,1,2,3,0
cà,36,1,2,3,0
đối_thủ,36,2,6,9,0
vi_phạm,36,2,6,7,0
cải_tạo,36,2,6,8,0
chỉ_huy,36,2,6,7,0
lãnh,36,1,4,5,0
nhà_hát,36,2,6,8,0
sửa_chữa,36,2,7,11,0
uốn,36,1,3,5,0
đài,36,1,3,4,0
điền,36,1,4,6,0
chặn,37,1,4,6,0
năng_lượng,37,2,9,13,0
phường,37,1,6,9,0
chen,37,1,4,4,0
bồ,37,1,2,4,0
sét,37,1,3,4,0
hào,37,1,3,4,0
bấm,37,1,3,5,0
tổng,37,1,4,6,0
kịp_thời,38,2,7,10,0
nút,38,1,3,4,0
ưu_tiên,38,2,6,8,0
năm_ngoái,38,2,8,10,0
dàn,38,1,3,4,0
tối_cao,38,2,6,8,0
động_cơ,39,2,6,9,0
e,39,1,1,1,0
khống_chế,39,2,8,12,0
bìa,39,1,3,4,0
tuyển,39,1,5,7,0
máy_bay,39,2,6,7,0
công_an,39,2,6,7,0
sơ,39,1,2,3,0
gia_nhập,40,2,7,9,0
cản,40,1,3,4,0
ép,40,1,2,3,0
khuyến_khích,40,2,11,14,0
nhung,41,1,5,5,0
thai,41,1,4,4,0
hạnh,41,1,4,5,0
va,41,1,2,2,0
pháp_luật,41,2,8,11,0
cảnh_báo,41,2,7,9,0
tệ,41,1,2,4,0
tải,41,1,3,4,0
đồng_nghiệp,41,2,10,14,0
truyền_hình,42,2,10,13,0
quảng_cáo,42,2,8,10,0
bộ_đội,42,2,5,9,0
đối_phương,42,2,9,13,0
cọc,42,1,3,4,0
du_lịch,42,2,6,7,0
ga,42,1,2,2,0
hội_đồng,42,2,7,11,0
dự_đoán,42,2,6,9,0
bảo_đảm,42,2,6,8,0
thổ,43,1,3,5,0
võ,43,1,2,3,0
lái_xe,43,2,5,6,0
hàng_hoá,43,2,7,9,0
đế,43,1,2,4,0
dự_án,43,2,4,7,0
diễn_đàn,43,2,7,10,0
hợp_pháp,43,2,7,10,0
nông,43,1,4,5,0
biến_dạng,43,2,8,11,0
vé,43,1,2,3,0
tần,43,1,3,5,0
lô,43,1,2,3,0
sen,44,1,3,3,0
phù,44,1,3,4,0
vinh,44,1,4,4,0
bê,44,1,2,3,0
phối_hợp,45,2,7,11,0
hoàn_tất,45,2,7,10,0
quân_sự,45,2,6,9,0
diễn_viên,45,2,8,11,0
chắn,45,1,4,6,0
đoạt,45,1,4,5,0
đại_biểu,45,2,7,10,0
thép,45,1,4,5,0
đa_số,45,2,4,6,0
vệ,45,1,2,4,0
nguyên_lý,46,2,8,10,0
nứt,46,1,3,5,0
rạp,46,1,3,4,0
chỉ_đạo,46,2,6,8,0
tối_thiểu,46,2,8,12,0
dữ_liệu,46,2,6,10,0
điều_tra,46,2,7,9,0
khởi,46,1,4,6,0
châu_á,46,2,5,7,0
kênh,46,1,4,5,0
xác_nhận,46,2,7,10,0
tốt_nghiệp,46,2,9,13,0
buôn_bán,46,2,7,9,0
tốn,46,1,3,5,0
cửa_hàng,46,2,7,10,0
ấp,46,1,2,4,0
vay,47,1,3,3,0
nguy,47,1,4,4,0
u,47,1,1,1,0
xử_lý,47,2,4,7,0
quyền_lợi,47,2,8,12,0
nối_tiếp,47,2,7,11,0
khớp,47,1,4,6,0
hiệu_lực,47,2,7,11,0
bia,48,1,3,3,0
liên_lạc,48,2,7,9,0
nhà_báo,48,2,6,8,0
trộn,48,1,4,6,0
kiến_trúc,48,2,8,11,0
hàn,48,1,3,4,0
thị_trấn,48,2,7,10,0
thương_mại,48,2,9,12,0
tham_khảo,49,2,8,9,0
biệt,49,1,4,6,0
ổ,49,1,1,3,0
xe_đạp,49,2,5,6,0
tự_động,50,2,6,10,0
uy_tín,50,2,5,6,0
nhắn,50,1,4,6,0
hàm,50,1,3,4,0
mông,50,1,4,5,0
tạm_thời,50,2,7,10,0
mép,50,1,3,4,0
công_nghệ,50,2,8,11,0
cương,50,1,5,7,0
bảo_tồn,50,2,6,9,0
tiêu_thụ,50,2,7,9,0
phun,50,1,4,4,0
hùng,51,1,4,5,0
đạo_diễn,51,2,7,10,0
lộc,51,1,3,5,0
mạng_lưới,51,2,8,12,0
ấn,51,1,2,4,0
tôn,51,1,3,4,0
ngập,51,1,4,6,0
diệu,51,1,4,6,0
du,51,1,2,2,0
quyết_tâm,51,2,8,11,0
hài,52,1,3,4,0
nai,52,1,3,3,0
ngắt,52,1,4,6,0
thủ,52,1,3,4,0
thạch,52,1,5,6,0
tác,52,1,3,4,0
quét,52,1,4,5,0
quy_mô,52,2,5,6,0
ổn,52,1,2,4,0
đặc,52,1,3,5,0
chính_phủ,52,2,8,10,0
tín,52,1,3,4,0
chủ_nhật,52,2,7,10,0
tốc_độ,53,2,5,9,0
soạn,53,1,4,5,0
trường_học,53,2,9,13,0
tùng,53,1,4,5,0
hành_chính,53,2,9,11,0
đồng_đội,53,2,7,11,0
á,53,1,1,2,0
thử_nghiệm,53,2,9,13,0
thoại,53,1,5,6,0
công_viên,53,2,8,10,0
dư_luận,53,2,6,9,0
bạch,53,1,4,5,0
thủng,53,1,5,6,0
tính_toán,53,2,8,10,0
thuần,54,1,5,7,0
thịnh,54,1,5,6,0
bá,54,1,2,3,0
đất_đai,54,2,6,8,0
ngại,54,1,4,5,0
bùn,54,1,3,4,0
hướng_dẫn,54,2,8,13,0
cân,54,1,3,4,0
oan,54,1,3,3,0
men,54,1,3,3,0
ầm,54,1,2,4,0
áp,54,1,2,3,0
giáp,55,1,4,5,0
sư_phạm,55,2,6,8,0
chuyên_môn,55,2,9,11,0
tật,55,1,3,5,0
chấm,55,1,4,6,0
năm_học,55,2,6,8,0
trùm,55,1,4,5,0
an_toàn,55,2,6,7,0
mỡ,55,1,2,4,0
tố_cáo,55,2,5,8,0
lâu_nay,55,2,6,7,0
cường,55,1,5,8,0
lịch,55,1,4,5,0
mỏng,56,1,4,5,0
liệt,56,1,4,6,0
lễ_hội,56,2,5,9,0
tiệm,56,1,4,6,0
kê,56,1,2,3,0
giây,56,1,4,5,0
thuế,56,1,4,6,0
huyền,56,1,5,7,0
thắng_lợi,56,2,8,12,0
dải,56,1,3,4,0
con_số,57,2,5,7,0
hạn,57,1,3,4,0
tổn_thương,57,2,9,13,0
tích,57,1,4,5,0
đại_hội,57,2,6,9,0
nghệ,57,1,4,6,0
danh,57,1,4,4,0
chấm_dứt,57,2,7,11,0
giải_pháp,57,2,8,10,0
mù,57,1,2,3,0
thất_vọng,57,2,8,11,0
cúc,57,1,3,4,0
hợp_lý,57,2,5,8,0
mềm,57,1,3,5,0
cam,58,1,3,3,0
